Date,Price
12/03/2015,39.3
13/03/2015,41.71
14/03/2015,40.92
15/03/2015,40.08
16/03/2015,40.75
17/03/2015,41.9
18/03/2015,41.31
19/03/2015,41.03
20/03/2015,41.22
21/03/2015,40.03
22/03/2015,40.7
23/03/2015,41.77
24/03/2015,41.98
25/03/2015,44.14
26/03/2015,40.24
27/03/2015,42.98
28/03/2015,40.12
29/03/2015,39.77
30/03/2015,42.84
31/03/2015,40.14
01/04/2015,44.94
02/04/2015,49.69
03/04/2015,45.95
04/04/2015,45.97
05/04/2015,45.38
06/04/2015,43.76
07/04/2015,47.13
08/04/2015,44.41
09/04/2015,44.9
10/04/2015,44.71
11/04/2015,39.12
12/04/2015,39.91
13/04/2015,46.72
14/04/2015,43.25
15/04/2015,44.37
16/04/2015,45.59
17/04/2015,45.8
18/04/2015,43.43
19/04/2015,43.65
20/04/2015,44.31
21/04/2015,42.94
22/04/2015,43.1
23/04/2015,43.77
24/04/2015,42.97
25/04/2015,41.74
26/04/2015,43.41
27/04/2015,44.39
28/04/2015,42.25
29/04/2015,43.26
30/04/2015,42.43
01/05/2015,42.59
02/05/2015,39.85
03/05/2015,35.85
04/05/2015,39.54
05/05/2015,37.3
06/05/2015,39.05
07/05/2015,42.63
08/05/2015,42.98
09/05/2015,43.99
10/05/2015,41.51
11/05/2015,36.42
12/05/2015,38.66
13/05/2015,44.31
14/05/2015,42.4
15/05/2015,42.6
16/05/2015,36.74
17/05/2015,36.74
18/05/2015,39.99
19/05/2015,40.57
20/05/2015,40.87
21/05/2015,41.45
22/05/2015,41.52
23/05/2015,41.25
24/05/2015,39.13
25/05/2015,41.73
26/05/2015,41.75
27/05/2015,42.81
28/05/2015,40.96
29/05/2015,42.29
30/05/2015,41.2
31/05/2015,35.48
01/06/2015,38.73
02/06/2015,37.41
03/06/2015,40.7
04/06/2015,44.29
05/06/2015,42.16
06/06/2015,36.98
07/06/2015,39.02
08/06/2015,45.48
09/06/2015,43.55
10/06/2015,40.25
11/06/2015,43.21
12/06/2015,42.06
13/06/2015,41.67
14/06/2015,41.41
15/06/2015,43.28
16/06/2015,42.62
17/06/2015,40.95
18/06/2015,40.95
19/06/2015,40.86
20/06/2015,42.42
21/06/2015,38.51
22/06/2015,39.07
23/06/2015,42.41
24/06/2015,42.12
25/06/2015,42.19
26/06/2015,41.77
27/06/2015,43.65
28/06/2015,39.63
29/06/2015,41.85
30/06/2015,41.69
01/07/2015,40.36
02/07/2015,41.85
03/07/2015,41.45
04/07/2015,40.03
05/07/2015,40.28
06/07/2015,42.45
07/07/2015,42.19
08/07/2015,42.27
09/07/2015,44.4
10/07/2015,43.56
11/07/2015,42.78
12/07/2015,42.31
13/07/2015,44.39
14/07/2015,47.33
15/07/2015,43.63
16/07/2015,44.02
17/07/2015,40.77
18/07/2015,40.58
19/07/2015,42.29
20/07/2015,43.18
21/07/2015,41.58
22/07/2015,43.12
23/07/2015,42.35
24/07/2015,42.97
25/07/2015,37.56
26/07/2015,36.06
27/07/2015,41.06
28/07/2015,41.78
29/07/2015,41.73
30/07/2015,42.5
31/07/2015,42.41
01/08/2015,41.67
02/08/2015,41.65
03/08/2015,40.68
04/08/2015,39.52
05/08/2015,42.26
06/08/2015,42.72
07/08/2015,44.1
08/08/2015,40.41
09/08/2015,40.48
10/08/2015,42.34
11/08/2015,42.07
12/08/2015,42.54
13/08/2015,42.04
14/08/2015,42
15/08/2015,39.69
16/08/2015,41.14
17/08/2015,42.2
18/08/2015,40.25
19/08/2015,40.28
20/08/2015,40.22
21/08/2015,39.39
22/08/2015,39.34
23/08/2015,38.45
24/08/2015,41.66
25/08/2015,39.21
26/08/2015,37.71
27/08/2015,38.6
28/08/2015,39.56
29/08/2015,38.42
30/08/2015,39.22
31/08/2015,39.43
01/09/2015,40.54
02/09/2015,41.51
03/09/2015,39.29
04/09/2015,41.48
05/09/2015,40.42
06/09/2015,39.74
07/09/2015,43.42
08/09/2015,42.19
09/09/2015,42.02
10/09/2015,41.62
11/09/2015,40.12
12/09/2015,35.99
13/09/2015,40.14
14/09/2015,44.73
15/09/2015,43.8
16/09/2015,45.06
17/09/2015,42.63
18/09/2015,41.47
19/09/2015,40.32
20/09/2015,40.77
21/09/2015,42.65
22/09/2015,42.04
23/09/2015,42.6
24/09/2015,40.91
25/09/2015,43.7
26/09/2015,41.26
27/09/2015,41.07
28/09/2015,42.96
29/09/2015,41.16
30/09/2015,40.89
01/10/2015,40.65
02/10/2015,40.44
03/10/2015,39.81
04/10/2015,38.82
05/10/2015,38.9
06/10/2015,40.72
07/10/2015,40.32
08/10/2015,41.85
09/10/2015,41.22
10/10/2015,39.59
11/10/2015,38.26
12/10/2015,41.38
13/10/2015,39.75
14/10/2015,39.95
15/10/2015,40.37
16/10/2015,39.94
17/10/2015,40.46
18/10/2015,41.11
19/10/2015,43.29
20/10/2015,42.36
21/10/2015,40.05
22/10/2015,39.5
23/10/2015,41.25
24/10/2015,38.56
25/10/2015,41.72
26/10/2015,40.8
27/10/2015,40.11
28/10/2015,40.37
29/10/2015,39.2
30/10/2015,37.8
31/10/2015,38.42
01/11/2015,38.5
02/11/2015,40.51
03/11/2015,39.36
04/11/2015,46.86
05/11/2015,37.69
06/11/2015,38.09
07/11/2015,37.01
08/11/2015,34.85
09/11/2015,34.89
10/11/2015,35.57
11/11/2015,36.95
12/11/2015,37.35
13/11/2015,33.89
14/11/2015,35.23
15/11/2015,34.6
16/11/2015,35.42
17/11/2015,36.97
18/11/2015,35.36
19/11/2015,36.53
20/11/2015,38.25
21/11/2015,36.33
22/11/2015,38.02
23/11/2015,46.35
24/11/2015,40.01
